description,category,disposal_instruction,common_confusion,material_composition
soiled silver tablecloth,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
folded glass bottle leaking,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
large Supermarket vegetable waste with food residue,Food Organics,"If no compost available, place in general waste.",,Biodegradable matter derived from plant or animal sources.
intact floral carpet piece,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
empty fun-sized purple apple core,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
wrinkled pink takeout container with product remaining,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
broken glass container,Glass,"Remove caps, lids, and corks before recycling.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
clean red grass clippings,Vegetation,Large branches may need to be cut to appropriate size.,,Plant matter composed primarily of cellulose and lignin.
Designer egg carton,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
wrinkled metal cutlery with food residue,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
wrinkled newspaper,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
gold cigarette butt,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
clean small bed sheet,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
small striped Organic fallen leaves,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
wooden tablecloth with product remaining,Textile Trash,Cut into rags for home use if appropriate.,,"Fabric made from natural or synthetic fibers, may include blends."
full black clamshell packaging with food residue,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
crumpled rubber band,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
stained red cardboard sleeve with label attached,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
new regular-sized purple cardboard tray,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
wet small Bulk shoe box,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
clean red wine bottle with food residue,Glass,Rinse container before recycling.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
torn medium purple leaves,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
broken mini Eco-Friendly toy,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,,Various non-recyclable materials often with mixed composition.
regular-sized silver Commercial potted plant,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
wet compact orange peel with label attached,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
folded red glass pitcher,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
bed sheet containing residue,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
clean industrial brown leather cotton towel,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
dirty small paper plastic-metal composite,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
partial large purple metal pipe,Metal,Ensure it is clean and empty before recycling.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
dry green electronic device leaking,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
wet striped plastic leather belt,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
soiled enormous gold Premium nut shells containing residue,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
used large Supermarket fabric scrap partially filled,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
used regular-sized striped bottle cap with contents,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
broken orange cardboard mailer,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
personal spotted silicone old t-shirt leaking,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
floral light bulb containing residue,Glass,"Remove caps, lids, and corks before recycling.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
folded massive yellow milk jug,Plastic,Rinse container before recycling.,,Polymer materials derived from petrochemicals or plant-based sources.
dry standard pink Budget glass pitcher,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
soiled floral packaging box sealed,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
green plastic lid,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
glass cup,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
broken massive green foil wrapper,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
orange hat,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
soiled travel-sized brown yard trimmings with product remaining,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
patterned glass jar,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
partial black pizza box,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
ripped Designer aerosol can leaking,Metal,Ensure it is clean and empty before recycling.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
wet vacuum cleaner bag with contents,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
large black Commercial steel container,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
torn large patterned coffee grounds,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
dirty black flower petals,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
wet large white cigarette butt with contents,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
crumpled transparent tin can,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
new tissue paper,Paper,"If stained with food or oil, place in general waste.",,Cellulose fibers derived from wood pulp or recycled paper.
clean pink plastic pencil,Miscellaneous Trash,Consider if items can be repaired or repurposed.,,Various non-recyclable materials often with mixed composition.
stained medium green light bulb containing residue,Glass,Non-container glass may require special disposal.,,"Silica-based material, may contain additives for color or strength."
used large white Imported packaging box,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
